symbol	ensgene	chr	start	end	strand	biotype	description	Control_0w1	Control_0w2	Control_0w3	Control_2w1	Control_2w2	Control_2w3	Control_8w1	Control_8w2	Control_8w3	Control_16w1	Control_16w2	Control_16w3	disease_2w1	disease_2w2	disease_2w3	disease_8w1	disease_8w2	disease_8w3	disease_16w1	disease_16w2	disease_16w3	2WAvgreadControl	2W_Avgreaddisease	2W_logConc	2W_pVal	2W_adj.pVal	8WAvgreadControl	8W_Avgreaddisease	8W_logConc	8W_pVal	8W_adj.pVal	16WAvgreadControl	16W_Avgreaddisease	16W_logConc	16W_pVal	16W_adj.pVal
AABR07013255.1	ENSRNOG00000000001	2	230660664	230662084	1	pseudogene	#VALUE!	NA	21.9	7	19.6	20.5	22.3	15.7	21.8	26.8	30	32.8	22.1	18.3	27.9	26.5	20.5	28.2	17.6	15.3	21.9	11.8	20.78970848	24.23588301	0.219	0.502	1	21.40980376	22.09546239	0.0376	0.942	0.999	28.30047321	16.3309743	-0.785	0.0161	0.0934
Tcf15	ENSRNOG00000000012	3	147643250	147649504	1	protein_coding	transcription factor 15 	NA	10.5	7.7	7.2	5.5	5.1	6.3	14.8	17.8	10.9	11.3	4.3	10.1	12.4	8.9	3.1	7.7	15.7	9.3	5	12.5	5.910716627	10.4917316	0.813	0.0936	0.831	12.96286391	8.846424378	-0.567	0.213	0.53	8.805802841	8.933208198	-0.0168	1	1
Steap1	ENSRNOG00000000017	4	25435873	25446461	1	protein_coding	STEAP family member 1 	4.8	18.2	7.9	8.9	5.1	17.2	12	23.6	9.2	24	11.3	15.8	8.1	15.5	10	6.6	18.3	10.7	8.2	8	7	10.39004392	11.20896444	0.136	0.83	1	14.94761681	11.88648236	-0.35	0.486	0.795	17.04890439	7.708471214	-1.16	0.00642	0.0468
AABR07061902.1	ENSRNOG00000000021	4	151987078	151988279	1	pseudogene	#VALUE!	190	158.3	157.3	137.2	155.9	136.9	166.4	143.5	161.9	177.6	190.9	157.5	129.7	131.6	149.3	170.8	179	169.1	152.2	162.2	136.5	143.3407143	136.8887278	-0.0677	0.766	1	157.2444901	172.9497526	0.137	0.53	0.824	175.3486654	150.2998337	-0.222	0.294	0.625
Hebp1	ENSRNOG00000000024	4	168903565	168933079	-1	protein_coding	heme binding protein 1 	172.9	123.1	167.1	148.1	123.6	152.1	125.1	109.1	122.5	119.2	113	128	144.9	151.3	163.8	165.7	157.2	164.3	139.3	134.3	137.4	141.2613443	153.3231494	0.119	0.589	1	118.8868937	162.3877418	0.45	0.0389	0.176	120.0500888	137.024649	0.19	0.386	0.715
Tmcc2	ENSRNOG00000000033	13	49132667	49169918	-1	protein_coding	transmembrane and coiled-coil domain family 2 	245.4	359.7	251.1	205.9	180.4	248.4	207	230.3	243.8	158.4	189.9	190.9	162.1	192.7	159.6	142.1	187.6	178	166.4	204	140.2	211.5653476	171.4552258	-0.301586868	0.146	0.998	227.0580585	169.2172421	-0.425438699	0.0425	0.187	179.7410074	170.1700584	-0.0755	0.714	0.921
Nuak2	ENSRNOG00000000034	13	49092306	49109050	1	protein_coding	NUAK family kinase 2 	103.5	53.9	81.4	72.9	118.8	65	87.4	81.5	86.6	106.9	60.7	102.7	89.2	97.4	116	104.8	83.2	111.5	115.3	70.6	87.9	85.55665409	100.8830077	0.231	0.292	1	85.12941851	99.81888735	0.231	0.32	0.655	90.1038496	91.2632199	0.0105	0.944	0.996
Klhdc8a	ENSRNOG00000000036	13	49074644	49082729	1	protein_coding	kelch domain containing 8A 	73.3	44.4	81.1	71.5	59.9	53.8	39.3	49.3	56	41.7	41.1	44.1	50.7	71.4	67.5	95.5	73.3	84.1	93.7	117.4	72.1	61.74639483	63.19967409	0.0312312	0.901	1	48.20220276	84.29500007	0.806247187	0.00114	0.0122	42.26771512	94.41032573	1.16025604	0.00000196	0.0000846
RGD1304622	ENSRNOG00000000040	13	72861090	72893187	-1	protein_coding	similar to 6820428L09 protein 	185	309.6	168.8	148	162.1	147.1	157.4	151.6	221	230.5	213.6	260.1	141.8	154.2	63.8	81.8	151.3	106.5	119.5	130.3	113.3	152.3755498	119.9475067	-0.343	0.111	0.894	176.6786777	113.2151927	-0.646	0.00298	0.0259	234.7375426	121.0563839	-0.954	0.00000669	0.000231
Slc26a1	ENSRNOG00000000041	14	2050483	2056089	1	protein_coding	solute carrier family 26 member 1 	247.6	242.8	222	199.6	237.2	220.1	163.9	268.9	261.7	231.5	266.9	246.6	242.2	211.4	218.2	186.6	279.2	246.4	273.6	232.8	214	218.9545387	223.9185531	0.032091033	0.885	1	231.5009435	237.381995	0.034087568	0.865	0.977	248.3431496	240.1259211	-0.048	0.817	0.961
